Pollutant,Sector,wday,hour,coeff
NOx,1,1,0,0.933779122380262
NOx,1,2,0,0.935721144471472
NOx,1,3,0,0.93476547396666
NOx,1,4,0,0.9356474950319
NOx,1,5,0,0.93270685806673
NOx,1,6,0,0.922291499108067
NOx,1,7,0,0.918135305521816
NOx,1,1,1,0.919362044698647
NOx,1,2,1,0.921867056616811
NOx,1,3,1,0.920649260039595
NOx,1,4,1,0.921785842476854
NOx,1,5,1,0.918003920317061
NOx,1,6,1,0.904621887990835
NOx,1,7,1,0.899279777476387
NOx,1,1,2,0.913962489618345
NOx,1,2,2,0.916663952426041
NOx,1,3,2,0.915363519208386
NOx,1,4,2,0.916586322350595
NOx,1,5,2,0.912513756934522
NOx,1,6,2,0.898124747520781
NOx,1,7,2,0.892375832835924
NOx,1,1,3,0.911362563979211
NOx,1,2,3,0.914194675211134
NOx,1,3,3,0.912840753347263
NOx,1,4,3,0.914122506555487
NOx,1,5,3,0.909861066104592
NOx,1,6,3,0.894810240444081
NOx,1,7,3,0.888796412044645
NOx,1,1,4,0.910041784561641
NOx,1,2,4,0.912929767416834
NOx,1,3,4,0.911552229892872
NOx,1,4,4,0.912861869247291
NOx,1,5,4,0.908524145105521
NOx,1,6,4,0.89319175154659
NOx,1,7,4,0.887069416547982
NOx,1,1,5,0.930805896437356
NOx,1,2,5,0.933307941534717
NOx,1,3,5,0.93211203499849
NOx,1,4,5,0.933247226087972
NOx,1,5,5,0.929488090582453
NOx,1,6,5,0.916196602483795
NOx,1,7,5,0.910890163398627
NOx,1,1,6,0.960088728403597
NOx,1,2,6,0.961498508742036
NOx,1,3,6,0.960816802733741
NOx,1,4,6,0.961451503618268
NOx,1,5,6,0.959316954748915
NOx,1,6,6,0.951791570533632
NOx,1,7,6,0.948779658966457
NOx,1,1,7,1.0072867467449
NOx,1,2,7,1.00731866903212
NOx,1,3,7,1.00728773952412
NOx,1,4,7,1.00729055220256
NOx,1,5,7,1.0072062360681
NOx,1,6,7,1.00696153605457
NOx,1,7,7,1.0068459778804
NOx,1,1,8,1.03460671266548
NOx,1,2,8,1.03362802542223
NOx,1,3,8,1.03407890034005
NOx,1,4,8,1.03362090560023
NOx,1,5,8,1.03504947814516
NOx,1,6,8,1.04016536963021
NOx,1,7,8,1.04218641311255
NOx,1,1,9,1.04471494753932
NOx,1,2,9,1.04337905661952
NOx,1,3,9,1.04400777549564
NOx,1,4,9,1.04339235677575
NOx,1,5,9,1.04537288087438
NOx,1,6,9,1.05241946174421
NOx,1,7,9,1.05521840349764
NOx,1,1,10,1.04500322445405
NOx,1,2,10,1.04368096137165
NOx,1,3,10,1.04431311772697
NOx,1,4,10,1.04371201586864
NOx,1,5,10,1.04569657402719
NOx,1,6,10,1.05271962621696
NOx,1,7,10,1.05552165565653
NOx,1,1,11,1.04345511408481
NOx,1,2,11,1.04221243841736
NOx,1,3,11,1.04281385370917
NOx,1,4,11,1.04225682491502
NOx,1,5,11,1.04414360287633
NOx,1,6,11,1.0507827570714
NOx,1,7,11,1.05344378067062
NOx,1,1,12,1.04251331212644
NOx,1,2,12,1.04132276347048
NOx,1,3,12,1.04190353251756
NOx,1,4,12,1.04137653088052
NOx,1,5,12,1.04320102022458
NOx,1,6,12,1.0495886249982
NOx,1,7,12,1.05215906254216
NOx,1,1,13,1.04198267921862
NOx,1,2,13,1.04082404372517
NOx,1,3,13,1.04139285334367
NOx,1,4,13,1.04088477325905
NOx,1,5,13,1.04267276205408
NOx,1,6,13,1.04890966590864
NOx,1,7,13,1.05142678652072
NOx,1,1,14,1.04237509379903
NOx,1,2,14,1.04120857837204
NOx,1,3,14,1.04178488128922
NOx,1,4,14,1.0412751624766
NOx,1,5,14,1.04308202605065
NOx,1,6,14,1.04937736175951
NOx,1,7,14,1.05192075086216
NOx,1,1,15,1.0457191729363
NOx,1,2,15,1.04442784934413
NOx,1,3,15,1.0450679838117
NOx,1,4,15,1.04450001440907
NOx,1,5,15,1.04649500976206
NOx,1,6,15,1.05346610321781
NOx,1,7,15,1.05627666301846
NOx,1,1,16,1.05295251467662
NOx,1,2,16,1.0513506698352
NOx,1,3,16,1.05214352346763
NOx,1,4,16,1.05142858053826
NOx,1,5,16,1.05388228210661
NOx,1,6,16,1.06250926551408
NOx,1,7,16,1.06597133808698
NOx,1,1,17,1.06282814566991
NOx,1,2,17,1.06084260365232
NOx,1,3,17,1.0618209718132
NOx,1,4,17,1.06092296212974
NOx,1,5,17,1.06393781289185
NOx,1,6,17,1.07459699834781
NOx,1,7,17,1.07885635425747
NOx,1,1,18,1.06752887192855
NOx,1,2,18,1.06531593843414
NOx,1,3,18,1.06639935586682
NOx,1,4,18,1.06538946987652
NOx,1,5,18,1.06872600034868
NOx,1,6,18,1.08056645496125
NOx,1,7,18,1.08528391535181
NOx,1,1,19,1.05427421313671
NOx,1,2,19,1.05218430254023
NOx,1,3,19,1.05319777976785
NOx,1,4,19,1.05223796432969
NOx,1,5,19,1.05536865975856
NOx,1,6,19,1.06650605943819
NOx,1,7,19,1.0709341062609
NOx,1,1,20,1.03788130461126
NOx,1,2,20,1.03635158113565
NOx,1,3,20,1.03708224152891
NOx,1,4,20,1.03637503809553
NOx,1,5,20,1.03864762186235
NOx,1,6,20,1.04675177084125
NOx,1,7,20,1.04996673231292
NOx,1,1,21,0.999991321291994
NOx,1,2,21,0.999511026092739
NOx,1,3,21,0.999725594000764
NOx,1,4,21,0.999497981017193
NOx,1,5,21,1.00018751118364
NOx,1,6,21,1.00266922002711
NOx,1,7,21,1.00364519546477
NOx,1,1,22,0.963704872656681
NOx,1,2,22,0.964537301644505
NOx,1,3,22,0.964114347643061
NOx,1,4,22,0.964488607225385
NOx,1,5,22,0.963208871839264
NOx,1,6,22,0.958689925532944
NOx,1,7,22,0.956880992190264
NOx,1,1,23,0.933779122380262
NOx,1,2,23,0.935721144471472
NOx,1,3,23,0.93476547396666
NOx,1,4,23,0.9356474950319
NOx,1,5,23,0.93270685806673
NOx,1,6,23,0.922291499108067
NOx,1,7,23,0.918135305521816
NOx,2,1,0,0.708594958753373
NOx,2,2,0,0.713264201439059
NOx,2,3,0,0.709100255570565
NOx,2,4,0,0.71236613726404
NOx,2,5,0,0.701668534110581
NOx,2,6,0,0.657689363175093
NOx,2,7,0,0.621655039433685
NOx,2,1,1,0.618022612476871
NOx,2,2,1,0.621258386365471
NOx,2,3,1,0.617099230830606
NOx,2,4,1,0.620362221305057
NOx,2,5,1,0.610079647423253
NOx,2,6,1,0.568791803904999
NOx,2,7,1,0.537165936983265
NOx,2,1,2,0.567682258585213
NOx,2,2,2,0.569730267120565
NOx,2,3,2,0.565749859705531
NOx,2,4,2,0.56887325246563
NOx,2,5,2,0.55932832607037
NOx,2,6,2,0.52175409280055
NOx,2,7,2,0.494694252827897
NOx,2,1,3,0.53297499527393
NOx,2,2,3,0.534730991696645
NOx,2,3,3,0.53063656091099
NOx,2,4,3,0.533849639507653
NOx,2,5,3,0.52413017909404
NOx,2,6,3,0.486128039610973
NOx,2,7,3,0.459365388429753
NOx,2,1,4,0.520339009443765
NOx,2,2,4,0.522594647191933
NOx,2,3,4,0.518185841126208
NOx,2,4,4,0.521645402518782
NOx,2,5,4,0.511076793092456
NOx,2,6,4,0.46948221706598
NOx,2,7,4,0.439549127396875
NOx,2,1,5,0.5720946245511
NOx,2,2,5,0.574665581062035
NOx,2,3,5,0.570480902234055
NOx,2,4,5,0.573764331712901
NOx,2,5,5,0.563611734898662
NOx,2,6,5,0.523336571480133
NOx,2,7,5,0.493610304102542
NOx,2,1,6,0.719638110869168
NOx,2,2,6,0.721455830032088
NOx,2,3,6,0.718654047623858
NOx,2,4,6,0.720852355015169
NOx,2,5,6,0.714027673476467
NOx,2,6,6,0.686883890027082
NOx,2,7,6,0.666686444705502
NOx,2,1,7,0.922053388801076
NOx,2,2,7,0.921950211440722
NOx,2,3,7,0.921445283309713
NOx,2,4,7,0.921841716331945
NOx,2,5,7,0.920733268629151
NOx,2,6,7,0.916638035342521
NOx,2,7,7,0.914315347875031
NOx,2,1,8,1.11365000396083
NOx,2,2,8,1.11063919377373
NOx,2,3,8,1.11279891814392
NOx,2,4,8,1.11110535215089
NOx,2,5,8,1.11682000334972
NOx,2,6,8,1.14071993122785
NOx,2,7,8,1.16121106499745
NOx,2,1,9,1.25058695733549
NOx,2,2,9,1.24428777798321
NOx,2,3,9,1.24889694221176
NOx,2,4,9,1.24528255079425
NOx,2,5,9,1.25744281952693
NOx,2,6,9,1.30821513179872
NOx,2,7,9,1.35155988379608
NOx,2,1,10,1.32292902760508
NOx,2,2,10,1.31422518744355
NOx,2,3,10,1.32042891662684
NOx,2,4,10,1.31556424390702
NOx,2,5,10,1.33199499248953
NOx,2,6,10,1.40074909846613
NOx,2,7,10,1.45977853286369
NOx,2,1,11,1.32747714470586
NOx,2,2,11,1.31835247936759
NOx,2,3,11,1.32477787977662
NOx,2,4,11,1.3197394494963
NOx,2,5,11,1.33678826966902
NOx,2,6,11,1.40820216401639
NOx,2,7,11,1.46967665498234
NOx,2,1,12,1.2913657274786
NOx,2,2,12,1.28314942111371
NOx,2,3,12,1.28891033651692
NOx,2,4,12,1.28439297863431
NOx,2,5,12,1.299688635696
NOx,2,6,12,1.36378245883089
NOx,2,7,12,1.41900740119377
NOx,2,1,13,1.25609537336365
NOx,2,2,13,1.24863122334237
NOx,2,3,13,1.25380394162146
NOx,2,4,13,1.24974786458241
NOx,2,5,13,1.26350627518527
NOx,2,6,13,1.32121642598619
NOx,2,7,13,1.37106807032283
NOx,2,1,14,1.24717732677199
NOx,2,2,14,1.23980420504838
NOx,2,3,14,1.24487284750385
NOx,2,4,14,1.24089841517629
NOx,2,5,14,1.25439668528135
NOx,2,6,14,1.3110550782141
NOx,2,7,14,1.36008458062746
NOx,2,1,15,1.25640638441375
NOx,2,2,15,1.25002506969278
NOx,2,3,15,1.25471238582268
NOx,2,4,15,1.25103669467659
NOx,2,5,15,1.26339619256167
NOx,2,6,15,1.31498376647582
NOx,2,7,15,1.35898801685475
NOx,2,1,16,1.27134981898456
NOx,2,2,16,1.26846652598013
NOx,2,3,16,1.27168438697744
NOx,2,4,16,1.26916010247859
NOx,2,5,16,1.27722265119425
NOx,2,6,16,1.30986864826419
NOx,2,7,16,1.33549849529332
NOx,2,1,17,1.27978387213914
NOx,2,2,17,1.28199086256458
NOx,2,3,17,1.28297622387447
NOx,2,4,17,1.28220137333547
NOx,2,5,17,1.28379890660578
NOx,2,6,17,1.28808202209158
NOx,2,7,17,1.28648163666593
NOx,2,1,18,1.2696198911182
NOx,2,2,18,1.27597094236763
NOx,2,3,18,1.27501832809517
NOx,2,4,18,1.27576228275916
NOx,2,5,18,1.27182516284968
NOx,2,6,18,1.25199511431447
NOx,2,7,18,1.22759682291781
NOx,2,1,19,1.2290572252331
NOx,2,2,19,1.23691796189059
NOx,2,3,19,1.23499859666344
NOx,2,4,19,1.23650053899241
NOx,2,5,19,1.2299597127263
NOx,2,6,19,1.19913191638861
NOx,2,7,19,1.16506596328506
NOx,2,1,20,1.14711720004031
NOx,2,2,20,1.15468900272477
NOx,2,3,20,1.15232010668438
NOx,2,4,20,1.15417510757233
NOx,2,5,20,1.14670302047679
NOx,2,6,20,1.11259371176432
NOx,2,7,20,1.07706254442973
NOx,2,1,21,1.0146516856537
NOx,2,2,21,1.0213804892521
NOx,2,3,21,1.0184541447968
NOx,2,4,21,1.02074725592973
NOx,2,5,21,1.01225702833085
NOx,2,6,21,0.974974698278262
NOx,2,7,21,0.939108743676027
NOx,2,1,22,0.852737443687877
NOx,2,2,22,0.858555339667313
NOx,2,3,22,0.854893807802179
NOx,2,4,22,0.85776459612904
NOx,2,5,22,0.847874953151304
NOx,2,6,22,0.806036457300047
NOx,2,7,22,0.769114706905507
NOx,2,1,23,0.708594958753373
NOx,2,2,23,0.713264201439059
NOx,2,3,23,0.709100255570565
NOx,2,4,23,0.71236613726404
NOx,2,5,23,0.701668534110581
NOx,2,6,23,0.657689363175093
NOx,2,7,23,0.621655039433685
NOx,3,1,0,0.881045541366706
NOx,3,2,0,0.881045541366706
NOx,3,3,0,0.881045541366706
NOx,3,4,0,0.881045541366706
NOx,3,5,0,0.881045541366706
NOx,3,6,0,0.881045541366706
NOx,3,7,0,0.881045541366706
NOx,3,1,1,0.928627318834235
NOx,3,2,1,0.928627318834235
NOx,3,3,1,0.928627318834235
NOx,3,4,1,0.928627318834235
NOx,3,5,1,0.928627318834235
NOx,3,6,1,0.928627318834235
NOx,3,7,1,0.928627318834235
NOx,3,1,2,0.928627318834235
NOx,3,2,2,0.928627318834235
NOx,3,3,2,0.928627318834235
NOx,3,4,2,0.928627318834235
NOx,3,5,2,0.928627318834235
NOx,3,6,2,0.928627318834235
NOx,3,7,2,0.928627318834235
NOx,3,1,3,0.976209117428076
NOx,3,2,3,0.976209117428076
NOx,3,3,3,0.976209117428076
NOx,3,4,3,0.976209117428076
NOx,3,5,3,0.976209117428076
NOx,3,6,3,0.976209117428076
NOx,3,7,3,0.976209117428076
NOx,3,1,4,0.976209117428076
NOx,3,2,4,0.976209117428076
NOx,3,3,4,0.976209117428076
NOx,3,4,4,0.976209117428076
NOx,3,5,4,0.976209117428076
NOx,3,6,4,0.976209117428076
NOx,3,7,4,0.976209117428076
NOx,3,1,5,1.0237908948956
NOx,3,2,5,1.0237908948956
NOx,3,3,5,1.0237908948956
NOx,3,4,5,1.0237908948956
NOx,3,5,5,1.0237908948956
NOx,3,6,5,1.0237908948956
NOx,3,7,5,1.0237908948956
NOx,3,1,6,1.0237908948956
NOx,3,2,6,1.0237908948956
NOx,3,3,6,1.0237908948956
NOx,3,4,6,1.0237908948956
NOx,3,5,6,1.0237908948956
NOx,3,6,6,1.0237908948956
NOx,3,7,6,1.0237908948956
NOx,3,1,7,1.07137267236314
NOx,3,2,7,1.07137267236314
NOx,3,3,7,1.07137267236314
NOx,3,4,7,1.07137267236314
NOx,3,5,7,1.07137267236314
NOx,3,6,7,1.07137267236314
NOx,3,7,7,1.07137267236314
NOx,3,1,8,1.07137267236314
NOx,3,2,8,1.07137267236314
NOx,3,3,8,1.07137267236314
NOx,3,4,8,1.07137267236314
NOx,3,5,8,1.07137267236314
NOx,3,6,8,1.07137267236314
NOx,3,7,8,1.07137267236314
NOx,3,1,9,1.07137267236314
NOx,3,2,9,1.07137267236314
NOx,3,3,9,1.07137267236314
NOx,3,4,9,1.07137267236314
NOx,3,5,9,1.07137267236314
NOx,3,6,9,1.07137267236314
NOx,3,7,9,1.07137267236314
NOx,3,1,10,1.07137267236314
NOx,3,2,10,1.07137267236314
NOx,3,3,10,1.07137267236314
NOx,3,4,10,1.07137267236314
NOx,3,5,10,1.07137267236314
NOx,3,6,10,1.07137267236314
NOx,3,7,10,1.07137267236314
NOx,3,1,11,1.07137267236314
NOx,3,2,11,1.07137267236314
NOx,3,3,11,1.07137267236314
NOx,3,4,11,1.07137267236314
NOx,3,5,11,1.07137267236314
NOx,3,6,11,1.07137267236314
NOx,3,7,11,1.07137267236314
NOx,3,1,12,1.07137267236314
NOx,3,2,12,1.07137267236314
NOx,3,3,12,1.07137267236314
NOx,3,4,12,1.07137267236314
NOx,3,5,12,1.07137267236314
NOx,3,6,12,1.07137267236314
NOx,3,7,12,1.07137267236314
NOx,3,1,13,1.07137267236314
NOx,3,2,13,1.07137267236314
NOx,3,3,13,1.07137267236314
NOx,3,4,13,1.07137267236314
NOx,3,5,13,1.07137267236314
NOx,3,6,13,1.07137267236314
NOx,3,7,13,1.07137267236314
NOx,3,1,14,1.07137267236314
NOx,3,2,14,1.07137267236314
NOx,3,3,14,1.07137267236314
NOx,3,4,14,1.07137267236314
NOx,3,5,14,1.07137267236314
NOx,3,6,14,1.07137267236314
NOx,3,7,14,1.07137267236314
NOx,3,1,15,1.07137267236314
NOx,3,2,15,1.07137267236314
NOx,3,3,15,1.07137267236314
NOx,3,4,15,1.07137267236314
NOx,3,5,15,1.07137267236314
NOx,3,6,15,1.07137267236314
NOx,3,7,15,1.07137267236314
NOx,3,1,16,1.0237908948956
NOx,3,2,16,1.0237908948956
NOx,3,3,16,1.0237908948956
NOx,3,4,16,1.0237908948956
NOx,3,5,16,1.0237908948956
NOx,3,6,16,1.0237908948956
NOx,3,7,16,1.0237908948956
NOx,3,1,17,1.0237908948956
NOx,3,2,17,1.0237908948956
NOx,3,3,17,1.0237908948956
NOx,3,4,17,1.0237908948956
NOx,3,5,17,1.0237908948956
NOx,3,6,17,1.0237908948956
NOx,3,7,17,1.0237908948956
NOx,3,1,18,0.976209117428076
NOx,3,2,18,0.976209117428076
NOx,3,3,18,0.976209117428076
NOx,3,4,18,0.976209117428076
NOx,3,5,18,0.976209117428076
NOx,3,6,18,0.976209117428076
NOx,3,7,18,0.976209117428076
NOx,3,1,19,0.976209117428076
NOx,3,2,19,0.976209117428076
NOx,3,3,19,0.976209117428076
NOx,3,4,19,0.976209117428076
NOx,3,5,19,0.976209117428076
NOx,3,6,19,0.976209117428076
NOx,3,7,19,0.976209117428076
NOx,3,1,20,0.928627318834235
NOx,3,2,20,0.928627318834235
NOx,3,3,20,0.928627318834235
NOx,3,4,20,0.928627318834235
NOx,3,5,20,0.928627318834235
NOx,3,6,20,0.928627318834235
NOx,3,7,20,0.928627318834235
NOx,3,1,21,0.928627318834235
NOx,3,2,21,0.928627318834235
NOx,3,3,21,0.928627318834235
NOx,3,4,21,0.928627318834235
NOx,3,5,21,0.928627318834235
NOx,3,6,21,0.928627318834235
NOx,3,7,21,0.928627318834235
NOx,3,1,22,0.881045541366706
NOx,3,2,22,0.881045541366706
NOx,3,3,22,0.881045541366706
NOx,3,4,22,0.881045541366706
NOx,3,5,22,0.881045541366706
NOx,3,6,22,0.881045541366706
NOx,3,7,22,0.881045541366706
NOx,3,1,23,0.881045541366706
NOx,3,2,23,0.881045541366706
NOx,3,3,23,0.881045541366706
NOx,3,4,23,0.881045541366706
NOx,3,5,23,0.881045541366706
NOx,3,6,23,0.881045541366706
NOx,3,7,23,0.881045541366706
NOx,4,1,0,0.864864863135135
NOx,4,2,0,0.864864863135135
NOx,4,3,0,0.864864863135135
NOx,4,4,0,0.864864863135135
NOx,4,5,0,0.864864863135135
NOx,4,6,0,0.864864863135135
NOx,4,7,0,0.864864863135135
NOx,4,1,1,0.918918911081081
NOx,4,2,1,0.918918911081081
NOx,4,3,1,0.918918911081081
NOx,4,4,1,0.918918911081081
NOx,4,5,1,0.918918911081081
NOx,4,6,1,0.918918911081081
NOx,4,7,1,0.918918911081081
NOx,4,1,2,0.918918911081081
NOx,4,2,2,0.918918911081081
NOx,4,3,2,0.918918911081081
NOx,4,4,2,0.918918911081081
NOx,4,5,2,0.918918911081081
NOx,4,6,2,0.918918911081081
NOx,4,7,2,0.918918911081081
NOx,4,1,3,0.972972983027027
NOx,4,2,3,0.972972983027027
NOx,4,3,3,0.972972983027027
NOx,4,4,3,0.972972983027027
NOx,4,5,3,0.972972983027027
NOx,4,6,3,0.972972983027027
NOx,4,7,3,0.972972983027027
NOx,4,1,4,0.972972983027027
NOx,4,2,4,0.972972983027027
NOx,4,3,4,0.972972983027027
NOx,4,4,4,0.972972983027027
NOx,4,5,4,0.972972983027027
NOx,4,6,4,0.972972983027027
NOx,4,7,4,0.972972983027027
NOx,4,1,5,1.02702703097297
NOx,4,2,5,1.02702703097297
NOx,4,3,5,1.02702703097297
NOx,4,4,5,1.02702703097297
NOx,4,5,5,1.02702703097297
NOx,4,6,5,1.02702703097297
NOx,4,7,5,1.02702703097297
NOx,4,1,6,1.02702703097297
NOx,4,2,6,1.02702703097297
NOx,4,3,6,1.02702703097297
NOx,4,4,6,1.02702703097297
NOx,4,5,6,1.02702703097297
NOx,4,6,6,1.02702703097297
NOx,4,7,6,1.02702703097297
NOx,4,1,7,1.08108107891892
NOx,4,2,7,1.08108107891892
NOx,4,3,7,1.08108107891892
NOx,4,4,7,1.08108107891892
NOx,4,5,7,1.08108107891892
NOx,4,6,7,1.08108107891892
NOx,4,7,7,1.08108107891892
NOx,4,1,8,1.08108107891892
NOx,4,2,8,1.08108107891892
NOx,4,3,8,1.08108107891892
NOx,4,4,8,1.08108107891892
NOx,4,5,8,1.08108107891892
NOx,4,6,8,1.08108107891892
NOx,4,7,8,1.08108107891892
NOx,4,1,9,1.08108107891892
NOx,4,2,9,1.08108107891892
NOx,4,3,9,1.08108107891892
NOx,4,4,9,1.08108107891892
NOx,4,5,9,1.08108107891892
NOx,4,6,9,1.08108107891892
NOx,4,7,9,1.08108107891892
NOx,4,1,10,1.08108107891892
NOx,4,2,10,1.08108107891892
NOx,4,3,10,1.08108107891892
NOx,4,4,10,1.08108107891892
NOx,4,5,10,1.08108107891892
NOx,4,6,10,1.08108107891892
NOx,4,7,10,1.08108107891892
NOx,4,1,11,1.08108107891892
NOx,4,2,11,1.08108107891892
NOx,4,3,11,1.08108107891892
NOx,4,4,11,1.08108107891892
NOx,4,5,11,1.08108107891892
NOx,4,6,11,1.08108107891892
NOx,4,7,11,1.08108107891892
NOx,4,1,12,1.08108107891892
NOx,4,2,12,1.08108107891892
NOx,4,3,12,1.08108107891892
NOx,4,4,12,1.08108107891892
NOx,4,5,12,1.08108107891892
NOx,4,6,12,1.08108107891892
NOx,4,7,12,1.08108107891892
NOx,4,1,13,1.08108107891892
NOx,4,2,13,1.08108107891892
NOx,4,3,13,1.08108107891892
NOx,4,4,13,1.08108107891892
NOx,4,5,13,1.08108107891892
NOx,4,6,13,1.08108107891892
NOx,4,7,13,1.08108107891892
NOx,4,1,14,1.08108107891892
NOx,4,2,14,1.08108107891892
NOx,4,3,14,1.08108107891892
NOx,4,4,14,1.08108107891892
NOx,4,5,14,1.08108107891892
NOx,4,6,14,1.08108107891892
NOx,4,7,14,1.08108107891892
NOx,4,1,15,1.08108107891892
NOx,4,2,15,1.08108107891892
NOx,4,3,15,1.08108107891892
