Pollutant,sector,wday,coeff,coeff_l,coeff_u
CO2,"",1,0.998834356580471,0.998700117910781,0.998968595250161
CO2,"",2,0.999222903279239,0.999117658230414,0.999328148328063
CO2,"",3,0.999611450468161,0.999528186977712,0.999694713958609
CO2,"",4,0.999999998523685,0.999925462025471,1.0000745350219
CO2,"",5,1.00038854748283,1.00030528399238,1.00047181097328
CO2,"",6,1.00077709700244,1.00067185195362,1.00088234205127
CO2,"",7,1.00116564666317,1.00103140799348,1.00129988533286
CO2,1,1,1.03416140577967,1.03068245654382,1.03764035501552
CO2,1,2,1.05870959047209,1.05535591249504,1.06206326844913
CO2,1,3,1.04521190742975,1.04219143414303,1.04823238071647
CO2,1,4,1.05658315752743,1.05377713386295,1.05938918119191
CO2,1,5,1.01811267199097,1.01509219870425,1.02113314527769
CO2,1,6,0.911031448705858,0.907677770728813,0.914385126682904
CO2,1,7,0.876189818094244,0.872710868858392,0.879668767330096
CO2,10,1,0.999901936812677,0.998819631444978,1.00098424218038
CO2,10,2,0.999934610031273,0.999086067094743,1.0007831529678
CO2,10,3,0.999967289642731,0.99929597396204,1.00063860532342
CO2,10,4,0.999999980324241,0.999399026366464,1.00060093428202
CO2,10,5,1.00003268253872,0.999361366858033,1.00070399821942
CO2,10,6,1.00006539307004,0.99921685013351,1.00091393600657
CO2,10,7,1.00009810758031,0.999015802212615,1.00118041294801
CO2,11,1,0.998965846178969,0.998836442434324,0.999095249923615
CO2,11,2,0.999310562881339,0.99920910848521,0.999412017277467
CO2,11,3,0.99965527997313,0.999575015414994,0.999735544531266
CO2,11,4,0.999999997969759,0.999928146078538,1.00007184986098
CO2,11,5,1.0003447171868,1.00026445262866,1.00042498174494
CO2,11,6,1.00068943747755,1.00058798308142,1.00079089187368
CO2,11,7,1.00103415833245,1.00090475458781,1.0011635620771
CO2,2,1,1.01034304097838,1.01028590297387,1.01040017898289
CO2,2,2,1.00329390898161,1.0032387442468,1.00334907371641
CO2,2,3,0.993174177293597,0.99312449943467,0.993223855152525
CO2,2,4,0.989000761129971,0.988954658028554,0.989046864231388
CO2,2,5,0.994691493975871,0.994641816116943,0.994741171834798
CO2,2,6,1.00281259215399,1.00275742741918,1.00286775688879
CO2,2,7,1.00668402548659,1.00662688748208,1.0067411634911
CO2,3,1,1.0750477576141,1.07212720484848,1.07796831037973
CO2,3,2,1.08258306495002,1.07978957564406,1.08537655425598
CO2,3,3,1.08151147584684,1.07899376638162,1.08402918531205
CO2,3,4,1.05697405605039,1.0546230946634,1.05932501743739
CO2,3,5,0.994159771401199,0.991642061935986,0.996677480866412
CO2,3,6,0.902189639037463,0.899396149731502,0.904983128343424
CO2,3,7,0.807534235099985,0.804613682334363,0.810454787865606
CO2,4,1,1.07787584804853,1.07490363800424,1.08084805809282
CO2,4,2,1.08607487259373,1.08322522433296,1.0889245208545
CO2,4,3,1.08816972854531,1.08560199147255,1.09073746561808
CO2,4,4,1.06576072473665,1.06336670242664,1.06815474704667
CO2,4,5,0.99708563418011,0.994517897107347,0.999653371252872
CO2,4,6,0.893679802203116,0.890830153942348,0.896529450463884
CO2,4,7,0.791353389692551,0.788381179648258,0.794325599736843
CO2,5,1,1.00003182628867,0.997626145628063,1.00243750694927
CO2,5,2,1.00103990750924,0.999355540694011,1.00272427432446
CO2,5,3,1.00167564424624,1.00002267305801,1.00332861543447
CO2,5,4,1.00155756156722,0.999908173174767,1.00320694995968
CO2,5,5,1.00050181289764,0.99884884170941,1.00215478408587
CO2,5,6,0.998682979612352,0.996998612797125,1.00036734642758
CO2,5,7,0.996510267878641,0.994104587218039,0.998915948539244
CO2,6,1,1.00337619664286,1.00135882190924,1.00539357137648
CO2,6,2,1.00225079526352,1.00066857041812,1.00383302010892
CO2,6,3,1.00112539511438,0.999874205016285,1.00237658521248
CO2,6,4,0.999999996829474,0.998880547817745,1.0011194458412
CO2,6,5,0.998874600329155,0.997623410231059,1.00012579042725
CO2,6,6,0.997749205141748,0.99616698029635,0.999331429987145
CO2,6,7,0.996623810678865,0.994606435945244,0.998641185412486
CO2,7,1,1.05425900072975,1.04822682640352,1.06029117505598
CO2,7,2,1.08926554996708,1.0834641960959,1.09506690383827
CO2,7,3,1.10642051844582,1.10119453662194,1.11164650026971
CO2,7,4,1.12420786070344,1.11934530726803,1.12907041413884
CO2,7,5,1.04896486946705,1.04373888764316,1.05419085129093
CO2,7,6,0.865272968061722,0.859471614190542,0.871074321932903
CO2,7,7,0.711609232625134,0.705577058298901,0.717641406951367
CO2,8,1,0.991959342421401,0.989296194157461,0.994622490685342
CO2,8,2,1.00836438140142,1.0059113133847,1.01081744941814
CO2,8,3,1.01620984009135,1.01398666188058,1.01843301830211
CO2,8,4,1.01499204571663,1.01287287160839,1.01711121982487
CO2,8,5,1.00799622646271,1.00577304825194,1.01021940467348
CO2,8,6,0.993124049726065,0.990670981709342,0.995577117742788
CO2,8,7,0.967354114180429,0.964690965916489,0.970017262444369
CO2,9,1,0.999285134545879,0.999144616685105,0.999425652406652
CO2,9,2,0.999523453369497,0.999413290894871,0.999633615844122
CO2,9,3,0.999761760245305,0.999674600872603,0.999848919618007
CO2,9,4,1.00000004457803,0.99992201471815,1.00007807443792
CO2,9,5,1.00023830239573,1.00015114302303,1.00032546176844
CO2,9,6,1.00047653911066,1.00036637663604,1.00058670158529
CO2,9,7,1.00071476575489,1.00057424789411,1.00085528361566
CO2,avi.cruise,1,1.00176672795031,0.999998410388648,1.00353504551198
CO2,avi.cruise,2,1.00117739016357,0.999791100582368,1.00256367974478
CO2,avi.cruise,3,1.00058823764093,0.99949139332786,1.00168508195401
CO2,avi.cruise,4,0.999999406011758,0.999017422447162,1.00098138957635
CO2,avi.cruise,5,0.999410922209902,0.998314077896829,1.00050776652298
CO2,avi.cruise,6,0.998822703026685,0.997436413445479,1.00020899260789
CO2,avi.cruise,7,0.998234612996835,0.996466295435171,1.0000029305585
